Chromosome	Start	Stop	Length	Strand	Gene Symbol	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
7	1022990	1023013	23	-	hsa-miR-339-5p	3	452	69	573	662	67	1	999
22	41900989	41901011	22	+	hsa-miR-33a-3p	0	84	0	22	83	0	0	55
22	41900949	41900970	21	+	hsa-miR-33a-5p	2	515	7	137	993	5	0	258
17	17813857	17813879	22	-	hsa-miR-33b-3p	0	12	3	6	6	1	0	18
17	17813897	17813917	20	-	hsa-miR-33b-5p	0	12	1	6	19	0	0	13
5	180015319	180015341	22	-	hsa-miR-340-3p	0	5	1	5	15	0	0	8
5	180015361	180015383	22	-	hsa-miR-340-5p	1	2822	17	1988	4495	9	1	5322
14	100109715	100109738	23	+	hsa-miR-342-3p	7	321	35	107	331	28	4	150
14	100307876	100307898	22	+	hsa-miR-345-5p	2	59	3	45	68	7	1	85
10	86264747	86264770	23	-	hsa-miR-346	0	2	0	0	7	0	0	1
1	9151693	9151715	22	-	hsa-miR-34a-3p	0	0	0	8	0	1	0	9
1	9151735	9151757	22	-	hsa-miR-34a-5p	26	2	8	634	7	5	3	1138
11	111513451	111513474	23	+	hsa-miR-34c-5p	0	0	3	107	0	2	1	180
1	33332405	33332428	23	-	hsa-miR-3605-3p	0	2	0	24	4	2	0	41
X	85903641	85903664	23	-	hsa-miR-361-3p	0	117	7	66	165	3	0	138
X	85903681	85903703	22	-	hsa-miR-361-5p	3	1794	103	1420	2440	21	2	2054
10	35079609	35079630	21	-	hsa-miR-3611	0	10	0	7	22	0	0	6
13	49996426	49996450	24	-	hsa-miR-3613-3p	0	1	0	6	2	1	0	5
13	49996465	49996487	22	-	hsa-miR-3613-5p	1	170	0	108	222	0	0	238
X	50009005	50009027	22	+	hsa-miR-362-3p	0	86	2	32	107	0	1	86
X	50008968	50008992	24	+	hsa-miR-362-5p	0	123	5	103	159	1	1	129
9	137169236	137169256	20	-	hsa-miR-3621	6	0	14	6	1	11	1	1
X	134169382	134169404	22	-	hsa-miR-363-3p	16	9103	28	248	17266	8	19	386
X	134169425	134169447	22	-	hsa-miR-363-5p	5	33	0	1	57	0	0	0
9	92292461	92292485	24	-	hsa-miR-3651	14	1	5	0	1	0	2	0
12	112037627	112037648	21	-	hsa-miR-3657	0	6	0	0	7	0	0	1
16	14309340	14309362	22	+	hsa-miR-365a-3p	0	510	4	710	624	7	0	1053
16	14309300	14309323	23	+	hsa-miR-365a-5p	0	2	3	4	1	2	1	10
17	31575478	31575500	22	+	hsa-miR-365b-3p	1	440	11	631	596	7	1	935
6	134979355	134979379	24	-	hsa-miR-3662	0	36	0	23	51	0	0	63
22	49543401	49543423	22	-	hsa-miR-3667-3p	0	2	0	5	6	1	0	10
2	134127130	134127153	23	+	hsa-miR-3679-5p	0	3	0	0	9	0	1	3
4	98997434	98997455	21	+	hsa-miR-3684	0	10	0	3	7	0	0	5
4	159128814	159128836	22	-	hsa-miR-3688-3p	0	7	0	2	20	0	0	4
9	134849494	134849516	22	-	hsa-miR-3689a-3p	0	0	0	3	0	0	0	12
9	134849534	134849556	22	-	hsa-miR-3689a-5p	0	0	50	650	0	22	0	1573
9	134850206	134850228	22	-	hsa-miR-3689b-5p	0	0	33	667	0	30	0	1593
9	134850614	134850636	22	-	hsa-miR-3689e	0	0	43	613	0	17	0	1549
9	134850783	134850805	22	-	hsa-miR-3689f	0	0	124	617	0	53	0	1485
14	101065641	101065662	21	+	hsa-miR-369-3p	2	0	8	282	0	1	0	616
14	101065606	101065628	22	+	hsa-miR-369-5p	0	1	5	248	0	5	0	400
14	100911186	100911208	22	+	hsa-miR-370-3p	0	0	41	92	0	19	0	148
14	100911151	100911173	22	+	hsa-miR-370-5p	0	0	1	13	0	0	0	22
X	74287295	74287317	22	-	hsa-miR-374a-3p	1	3317	23	2032	5247	8	0	5045
X	74287325	74287347	22	-	hsa-miR-374a-5p	5	4647	39	4201	7709	9	2	9439
X	74218557	74218579	22	-	hsa-miR-374b-3p	0	424	10	321	492	2	0	596
X	74218587	74218609	22	-	hsa-miR-374b-5p	2	600	22	543	897	4	0	1019
2	219001648	219001670	22	-	hsa-miR-375-3p	2	32	1	12	67	3	31	11
14	101040118	101040139	21	+	hsa-miR-376a-3p	6	2	40	1112	1	12	0	2160
14	101040788	101040810	22	+	hsa-miR-376a-5p	0	0	0	11	0	0	0	14
14	101040497	101040519	22	+	hsa-miR-376b-3p	7	0	7	561	1	13	0	1204
14	101040459	101040481	22	+	hsa-miR-376b-5p	0	0	1	36	0	0	0	68
14	101039732	101039753	21	+	hsa-miR-376c-3p	0	1	8	792	1	4	2	1154
14	101062094	101062116	22	+	hsa-miR-377-3p	0	0	3	53	1	3	0	103
5	149732867	149732889	22	+	hsa-miR-378a-3p	9	966	32	283	1197	24	2	463
5	149732829	149732851	22	+	hsa-miR-378a-5p	4	824	15	424	1137	9	0	583
10	130962634	130962659	25	-	hsa-miR-378c	3	101	0	14	131	1	2	47
4	5923279	5923299	20	-	hsa-miR-378d	1	13	1	5	17	0	0	4
14	101022109	101022131	22	+	hsa-miR-379-3p	0	0	0	38	0	0	0	71
14	101022071	101022092	21	+	hsa-miR-379-5p	8	1	37	1704	6	6	0	3849
14	101025056	101025078	22	+	hsa-miR-380-3p	0	0	0	17	0	0	0	28
14	101045968	101045990	22	+	hsa-miR-381-3p	1	3	144	1717	7	30	0	3420
14	101054352	101054373	21	+	hsa-miR-382-3p	1	0	0	11	0	0	0	19
14	101054316	101054338	22	+	hsa-miR-382-5p	14	1	43	727	2	17	0	1807
22	35335710	35335732	22	+	hsa-miR-3909	0	1	0	3	7	0	0	5
5	171386678	171386699	21	-	hsa-miR-3912-3p	0	1	0	5	3	0	0	9
22	31160062	31160084	22	-	hsa-miR-3928-3p	0	2	1	4	5	2	0	22
6	33698191	33698213	22	+	hsa-miR-3934-3p	0	0	2	3	1	0	0	5
19	6416434	6416456	22	-	hsa-miR-3940-3p	0	3	0	1	5	0	0	4
15	35372321	35372343	22	-	hsa-miR-3942-5p	0	5	0	0	7	0	0	3
14	101065346	101065368	22	+	hsa-miR-409-3p	6	0	60	855	3	16	0	1613
14	101065314	101065337	23	+	hsa-miR-409-5p	3	1	5	88	0	1	0	171
14	101065961	101065982	21	+	hsa-miR-410-3p	0	0	0	4	0	0	0	9
14	101065925	101065946	21	+	hsa-miR-410-5p	0	0	0	4	0	3	0	10
14	101023375	101023397	22	+	hsa-miR-411-3p	0	0	0	6	0	0	0	23
14	101023340	101023361	21	+	hsa-miR-411-5p	6	1	24	905	2	3	1	1874
14	101065465	101065488	23	+	hsa-miR-412-5p	0	0	0	39	0	0	0	67
X	74218392	74218415	23	-	hsa-miR-421	2	672	22	397	834	8	4	974
17	30117131	30117154	23	+	hsa-miR-423-3p	15	302	104	323	341	156	2	494
17	30117095	30117118	23	+	hsa-miR-423-5p	37	559	183	598	637	215	11	845
X	134546644	134546665	21	-	hsa-miR-424-3p	0	16	28	39	37	41	0	49
X	134546680	134546702	22	-	hsa-miR-424-5p	6	450	17	908	926	9	2	1899
3	49020159	49020181	22	-	hsa-miR-425-3p	6	437	16	181	469	8	2	348
3	49020199	49020222	23	-	hsa-miR-425-5p	20	670	42	282	718	28	10	416
1	1169055	1169077	22	+	hsa-miR-429	1	3	1	2	3	0	1	3
14	100881069	100881091	22	+	hsa-miR-431-3p	0	0	4	16	0	0	0	19
14	100881026	100881047	21	+	hsa-miR-431-5p	0	0	8	64	0	2	0	180
14	100884496	100884519	23	+	hsa-miR-432-5p	4	0	49	522	0	19	0	1179
3	48196572	48196589	17	+	hsa-miR-4443	33	8	8	3	15	2	11	13
4	52712720	52712742	22	+	hsa-miR-4449	24	0	4	0	1	3	17	0
4	76573572	76573594	22	+	hsa-miR-4450	0	38	0	0	43	0	0	0
4	163093607	163093627	20	-	hsa-miR-4454	15	13	1	2	9	4	6	20
5	8460933	8460952	19	+	hsa-miR-4458	0	9	0	4	5	0	0	4
7	102471472	102471494	22	+	hsa-miR-4467	0	2	0	3	2	0	0	4
11	61508599	61508617	18	+	hsa-miR-4488	8	4	31	5	1	21	3	1
11	118910765	118910782	17	+	hsa-miR-4492	39	5	44	5	0	23	15	2
12	109833350	109833367	17	+	hsa-miR-4497	761	0	166	0	0	220	469	0
5	55170586	55170608	22	-	hsa-miR-449a	0	102	1	9	88	0	0	41
5	55172313	55172338	25	-	hsa-miR-449c-5p	0	7	0	0	2	0	0	3
15	23562107	23562124	17	-	hsa-miR-4508	29	0	37	2	0	12	10	2
X	134540358	134540380	22	-	hsa-miR-450a-1-3p	0	11	0	21	13	0	0	27
X	134540529	134540551	22	-	hsa-miR-450a-2-3p	0	6	0	12	6	0	0	10
X	134540393	134540415	22	-	hsa-miR-450a-5p	0	6	0	4	4	0	0	8
X	134540231	134540253	22	-	hsa-miR-450b-5p	0	84	4	101	163	4	0	215
16	2133120	2133137	17	+	hsa-miR-4516	128	6	149	55	3	89	18	11
17	8186948	8186970	22	+	hsa-miR-4521	2	12	0	5	17	2	2	11
17	59137787	59137810	23	-	hsa-miR-454-3p	4	847	8	317	984	5	0	617
17	59137828	59137850	22	-	hsa-miR-454-5p	1	61	10	41	96	1	0	124
9	114209487	114209508	21	+	hsa-miR-455-3p	1	33	7	149	26	6	1	375
9	114209449	114209471	22	+	hsa-miR-455-5p	3	235	47	1129	290	33	0	3018
8	124821990	124822012	22	+	hsa-miR-4662a-5p	0	1	0	12	2	1	0	24
10	72721072	72721094	22	+	hsa-miR-4676-3p	0	1	0	6	4	1	0	3
1	243346225	243346247	22	+	hsa-miR-4677-3p	0	19	0	7	24	0	0	12
19	4445987	4446010	23	+	hsa-miR-4746-5p	0	4	0	3	15	0	0	5
22	40813893	40813914	21	-	hsa-miR-4766-3p	0	12	0	3	14	0	0	16
2	102432336	102432358	22	+	hsa-miR-4772-3p	0	0	2	9	1	0	0	21
2	207754816	207754838	22	+	hsa-miR-4775	0	4	0	1	3	0	0	12
2	127423546	127423569	23	-	hsa-miR-4783-3p	0	7	0	0	14	0	0	0
3	50675130	50675154	24	+	hsa-miR-4787-3p	0	4	3	1	4	0	0	1
3	19314907	19314925	18	-	hsa-miR-4791	0	5	0	3	4	0	0	5
4	7310459	7310481	22	+	hsa-miR-4798-5p	0	0	0	16	0	0	0	32
16	15643301	15643323	22	+	hsa-miR-484	0	12	4	7	31	13	0	8
14	101055464	101055486	22	+	hsa-miR-485-3p	2	0	8	214	0	3	0	312
14	101055427	101055449	22	+	hsa-miR-485-5p	0	0	1	4	0	3	0	9
8	41660484	41660506	22	-	hsa-miR-486-5p	3	0	1	4	0	1	0	7
14	101052494	101052516	22	+	hsa-miR-487a-3p	0	0	1	12	0	0	0	18
14	101052458	101052480	22	+	hsa-miR-487a-5p	0	0	0	1	0	0	0	9
14	101046505	101046527	22	+	hsa-miR-487b-3p	0	0	5	170	0	2	0	290
14	101046469	101046491	22	+	hsa-miR-487b-5p	1	0	0	11	0	3	0	17
1	177029374	177029395	21	-	hsa-miR-488-3p	0	5	0	2	3	0	0	2
9	20716154	20716176	22	+	hsa-miR-491-3p	0	10	0	10	14	0	0	20
9	20716120	20716142	22	+	hsa-miR-491-5p	0	1	2	8	12	4	1	9
14	100869116	100869138	22	+	hsa-miR-493-3p	0	0	5	273	0	1	0	621
14	100869075	100869097	22	+	hsa-miR-493-5p	0	0	3	247	0	6	0	532
14	101029681	101029703	22	+	hsa-miR-494-3p	3	1	8	89	0	6	7	122
14	101033804	101033826	22	+	hsa-miR-495-3p	0	0	1	3	0	1	0	5
14	101033768	101033790	22	+	hsa-miR-495-5p	0	0	1	25	0	1	0	34
14	101060628	101060650	22	+	hsa-miR-496	0	0	0	15	0	0	0	54
17	7017938	7017960	22	-	hsa-miR-497-3p	1	1	0	4	3	0	0	2
17	7017979	7018000	21	-	hsa-miR-497-5p	0	47	2	70	65	0	0	130
20	34990408	34990429	21	+	hsa-miR-499a-5p	0	13	0	9	12	0	0	11
2	75090873	75090895	22	+	hsa-miR-5000-3p	0	10	0	4	18	0	0	17
15	89883987	89884011	24	-	hsa-miR-5009-5p	0	8	0	3	6	0	0	3
X	50008482	50008504	22	+	hsa-miR-500a-3p	0	113	18	59	170	4	1	144
X	50008443	50008466	23	+	hsa-miR-500a-5p	0	12	0	4	18	1	0	9
X	50009772	50009794	22	+	hsa-miR-501-3p	6	14	6	10	17	2	3	7
X	50009735	50009757	22	+	hsa-miR-501-5p	1	6	0	0	1	2	0	1
X	50014649	50014671	22	+	hsa-miR-502-3p	0	39	2	24	58	3	1	29
X	134546331	134546354	23	-	hsa-miR-503-3p	1	6	2	11	9	6	0	44
X	134546371	134546394	23	-	hsa-miR-503-5p	6	136	23	384	248	9	0	758
X	139924160	139924182	22	-	hsa-miR-505-3p	0	18	1	8	20	0	0	23
1	161227195	161227217	22	+	hsa-miR-5187-5p	0	1	0	1	4	0	0	4
X	50003204	50003226	22	+	hsa-miR-532-3p	0	200	14	157	274	12	1	183
X	50003167	50003189	22	+	hsa-miR-532-5p	4	3186	173	1863	4786	43	4	3398
14	101047369	101047391	22	+	hsa-miR-539-3p	1	1	3	234	0	0	0	606
X	134541364	134541386	22	-	hsa-miR-542-3p	4	385	2	411	745	0	0	1051
X	134541400	134541423	23	-	hsa-miR-542-5p	0	17	1	42	44	0	0	51
14	101032033	101032055	22	+	hsa-miR-543	0	0	0	9	0	1	0	18
14	101048712	101048734	22	+	hsa-miR-544a	0	0	1	2	0	0	0	12
3	124732486	124732508	22	+	hsa-miR-544b	0	3	0	6	2	0	0	11
X	74287126	74287148	22	-	hsa-miR-545-3p	0	14	0	10	12	0	0	11
X	74287164	74287186	22	-	hsa-miR-545-5p	0	25	0	22	29	0	0	56
6	18571844	18571866	22	+	hsa-miR-548a-3p	0	49	2	57	36	0	0	121
8	104484420	104484442	22	-	hsa-miR-548a-5p	0	4	0	9	7	0	0	18
3	32506305	32506327	22	-	hsa-miR-548ay-3p	0	59	0	10	38	1	0	25
6	119069062	119069084	22	-	hsa-miR-548b-3p	0	148	1	81	220	1	1	217
10	110988978	110989000	22	+	hsa-miR-548e-3p	0	31	0	8	21	0	0	31
10	110988940	110988962	22	+	hsa-miR-548e-5p	0	33	0	13	52	3	0	38
6	131792174	131792196	22	+	hsa-miR-548h-5p	1	1	0	0	2	0	0	6
22	26555274	26555296	22	-	hsa-miR-548j-5p	0	25	0	2	27	0	1	9
11	70283986	70284008	22	+	hsa-miR-548k	0	16	1	14	21	1	0	24
11	94466545	94466567	22	-	hsa-miR-548l	0	5	0	3	3	0	0	5
7	34940804	34940826	22	-	hsa-miR-548n	0	17	0	21	21	0	0	41
7	102405748	102405770	22	-	hsa-miR-548o-3p	0	6	0	4	2	0	0	8
6	57390180	57390203	23	+	hsa-miR-548u	0	4	0	3	9	0	0	21
7	29680748	29680770	22	-	hsa-miR-550a-3p	0	0	1	1	2	0	0	9
1	3560710	3560731	21	-	hsa-miR-551a	1	153	0	16	303	2	0	21
3	168551914	168551935	21	+	hsa-miR-551b-3p	0	7	0	9	4	0	0	16
1	162342600	162342622	22	+	hsa-miR-556-3p	0	17	0	2	24	0	0	5
18	39676719	39676741	22	-	hsa-miR-5583-3p	0	1	0	3	4	0	0	2
2	188297552	188297574	22	+	hsa-miR-561-3p	1	133	1	18	257	0	0	32
2	188297517	188297539	22	+	hsa-miR-561-5p	0	216	2	27	431	2	0	39
3	171106679	171106700	21	-	hsa-miR-569	1	51	0	2	22	0	0	3
1	9967390	9967412	22	+	hsa-miR-5697	0	2	0	0	8	0	0	1
10	641699	641721	22	-	hsa-miR-5699-3p	0	5	0	0	7	0	0	3
10	641748	641770	22	-	hsa-miR-5699-5p	0	29	0	7	46	1	1	11
3	195699460	195699482	22	+	hsa-miR-570-3p	0	18	0	7	25	0	0	18
4	24520252	24520276	24	-	hsa-miR-573	0	7	0	4	13	0	0	12
4	38868092	38868114	22	+	hsa-miR-574-3p	3	497	68	1031	690	54	4	1065
4	109488752	109488774	22	+	hsa-miR-576-3p	0	3	0	2	2	0	0	8
4	109488713	109488735	22	+	hsa-miR-576-5p	1	82	10	66	107	3	0	120
5	32394392	32394415	23	-	hsa-miR-579-3p	0	27	0	18	37	0	0	23
5	32394430	32394452	22	-	hsa-miR-579-5p	0	17	1	1	28	0	0	13
5	36147907	36147929	22	-	hsa-miR-580-3p	0	28	0	12	33	0	0	28
5	59703630	59703652	22	-	hsa-miR-582-3p	1	167	3	89	115	1	0	213
5	59703666	59703689	23	-	hsa-miR-582-5p	0	69	0	26	65	0	0	45
5	149062373	149062395	22	-	hsa-miR-584-5p	1	2	7	171	1	5	0	311
7	5495834	5495858	24	-	hsa-miR-589-3p	0	78	8	70	114	3	0	101
7	5495873	5495895	22	-	hsa-miR-589-5p	1	101	15	114	141	7	1	139
7	74191253	74191274	21	+	hsa-miR-590-3p	0	1455	4	947	2032	0	0	2262
7	74191213	74191235	22	+	hsa-miR-590-5p	1	414	0	269	607	0	0	697
8	9741687	9741709	22	+	hsa-miR-597-5p	0	3	0	1	2	0	0	5
8	11035221	11035243	22	-	hsa-miR-598-3p	0	350	14	434	555	4	3	899
1	20633756	20633776	20	+	hsa-miR-6084	19	0	0	0	0	0	7	0
16	3485422	3485440	18	-	hsa-miR-6126	489	0	53	0	0	183	159	0
12	54034010	54034032	22	+	hsa-miR-615-3p	1	95	34	169	97	15	3	242
14	31014669	31014690	21	-	hsa-miR-624-3p	0	5	0	4	15	0	0	3
14	31014706	31014728	22	-	hsa-miR-624-5p	0	60	0	54	89	0	1	76
14	65471153	65471175	22	+	hsa-miR-625-3p	2	305	114	532	316	35	0	707
14	65471116	65471137	21	+	hsa-miR-625-5p	0	23	2	38	13	2	0	49
15	42199630	42199652	22	-	hsa-miR-627-5p	0	34	2	48	48	2	0	82
15	55372954	55372975	21	-	hsa-miR-628-3p	0	35	3	3	18	1	0	16
15	55372991	55373013	22	-	hsa-miR-628-5p	0	208	3	38	167	0	0	86
15	70079387	70079409	22	-	hsa-miR-629-3p	0	28	0	3	36	1	0	8
15	70079427	70079448	21	-	hsa-miR-629-5p	5	232	5	31	315	6	0	73
19	40282603	40282627	24	-	hsa-miR-641	0	10	1	5	9	0	0	10
19	45674978	45675000	22	+	hsa-miR-642a-3p	1	17	9	8	49	0	0	3
19	45674943	45674965	22	+	hsa-miR-642a-5p	0	55	5	36	98	0	0	33
19	52281857	52281879	22	+	hsa-miR-643	0	6	0	5	4	0	0	3
12	48132800	48132822	22	+	hsa-miR-6505-5p	0	6	0	4	7	0	0	4
X	8127018	8127040	22	+	hsa-miR-651-3p	0	7	0	0	5	0	0	0
X	8126980	8127002	22	+	hsa-miR-651-5p	0	313	0	0	444	0	0	0
11	62792749	62792772	23	-	hsa-miR-6514-5p	1	4	0	2	2	0	0	4
X	110055389	110055410	21	+	hsa-miR-652-3p	0	10	0	12	6	2	0	6
X	110055349	110055374	25	+	hsa-miR-652-5p	0	24	0	6	38	0	0	16
14	101040269	101040291	22	+	hsa-miR-654-3p	6	2	50	1714	3	11	0	3571
14	101049610	101049632	22	+	hsa-miR-655-3p	0	0	3	43	1	0	0	82
14	101066766	101066787	21	+	hsa-miR-656-3p	0	0	1	9	0	0	0	39
22	37847732	37847754	22	-	hsa-miR-659-5p	0	2	0	2	3	1	0	2
X	50013256	50013278	22	+	hsa-miR-660-5p	5	2170	50	1052	3135	13	4	2379
1	220200549	220200572	23	-	hsa-miR-664a-3p	0	4	0	1	6	0	0	1
1	220200586	220200610	24	-	hsa-miR-664a-5p	0	9	2	4	6	0	0	6
14	100875075	100875095	20	+	hsa-miR-665	0	0	3	6	0	1	0	16
14	101055300	101055323	23	+	hsa-miR-668-3p	6	0	25	0	0	14	14	1
7	151238488	151238509	21	+	hsa-miR-671-3p	0	26	4	22	31	11	0	24
7	151238449	151238472	23	+	hsa-miR-671-5p	3	117	4	59	111	10	2	96
6	1390324	1390346	22	-	hsa-miR-6720-3p	0	0	4	4	0	0	0	4
6	1390359	1390382	23	-	hsa-miR-6720-5p	0	0	1	5	2	2	0	6
21	8205325	8205348	23	+	hsa-miR-6724-5p	3	3	7	0	0	19	2	0
1	43171686	43171708	22	-	hsa-miR-6733-5p	0	3	0	1	5	0	0	11
11	1996800	1996823	23	-	hsa-miR-675-5p	0	3	0	1	1	0	0	8
X	70022899	70022920	21	+	hsa-miR-676-3p	1	44	1	11	39	0	0	21
19	58550285	58550307	22	+	hsa-miR-6807-5p	3	1	2	0	2	3	0	1
22	49962866	49962889	23	+	hsa-miR-6821-5p	5	0	1	0	0	6	0	0
6	33290245	33290266	21	+	hsa-miR-6834-5p	19	0	0	0	0	1	5	0
8	124508515	124508536	21	-	hsa-miR-6844	0	2	0	4	4	0	0	4
9	83969771	83969793	22	-	hsa-miR-7-1-3p	0	234	15	210	380	24	0	409
9	83969811	83969835	24	-	hsa-miR-7-5p	7	3952	208	4505	5589	100	12	13631
11	79402032	79402054	22	-	hsa-miR-708-3p	0	0	2	41	3	3	0	68
11	79402077	79402100	23	-	hsa-miR-708-5p	0	5	74	796	3	34	0	1390
17	12081966	12081988	22	+	hsa-miR-744-3p	0	23	0	11	27	0	0	23
17	12081909	12081931	22	+	hsa-miR-744-5p	14	338	86	287	334	57	7	452
14	101026071	101026093	22	+	hsa-miR-758-3p	0	0	1	62	0	0	0	156
1	93846880	93846900	20	+	hsa-miR-760	0	1	6	2	0	0	1	0
X	119646763	119646785	22	-	hsa-miR-766-3p	0	3	1	2	2	1	0	1
X	119646799	119646821	22	-	hsa-miR-766-5p	0	4	1	2	4	2	0	3
X	152393447	152393470	23	-	hsa-miR-767-3p	0	17	3	19	16	1	0	23
X	152393481	152393504	23	-	hsa-miR-767-5p	0	280	23	296	387	19	3	594
19	46019000	46019023	23	+	hsa-miR-769-3p	5	71	3	46	94	9	0	76
19	46018961	46018983	22	+	hsa-miR-769-5p	7	1079	28	519	1562	19	0	1140
2	176188843	176188862	19	+	hsa-miR-7704	1218	4	137	4	1	186	708	2
15	85380639	85380663	24	+	hsa-miR-7706	1	5	1	8	11	0	0	13
19	11495544	11495568	24	-	hsa-miR-7974	0	73	0	63	112	0	0	96
3	176515103	176515121	18	+	hsa-miR-7977	11	67	20	54	86	12	7	55
9	28888925	28888946	21	-	hsa-miR-873-5p	0	0	1	4	0	0	0	5
5	137647582	137647604	22	-	hsa-miR-874-3p	0	9	3	6	8	2	0	4
5	137647618	137647641	23	-	hsa-miR-874-5p	0	6	1	2	3	4	0	1
5	15935229	15935251	22	+	hsa-miR-887-3p	0	17	0	0	6	0	0	0
14	101047949	101047970	21	+	hsa-miR-889-3p	3	0	6	634	0	2	0	1407
1	156420354	156420376	22	-	hsa-miR-9-3p	0	504	17	484	592	2	1	835
1	156420392	156420415	23	-	hsa-miR-9-5p	5	7260	116	4230	9541	24	1	7949
13	91351324	91351347	23	+	hsa-miR-92a-1-5p	1	6	24	10	7	51	0	15
13	91351361	91351383	22	+	hsa-miR-92a-3p	29	4350	510	3740	7043	188	10	5874
1	155195237	155195259	22	+	hsa-miR-92b-3p	1	223	31	107	279	8	3	228
1	155195196	155195218	22	+	hsa-miR-92b-5p	4	1	1	2	0	5	1	1
7	100093777	100093799	22	-	hsa-miR-93-3p	2	73	32	65	94	20	2	89
7	100093815	100093838	23	-	hsa-miR-93-5p	137	35835	2334	25277	47366	666	120	46919
19	53982362	53982385	23	+	hsa-miR-935	3	67	46	735	64	24	0	1003
20	63919495	63919518	23	+	hsa-miR-941	0	13	13	30	16	10	0	57
1	117094655	117094677	22	+	hsa-miR-942-5p	0	215	20	132	260	10	0	320
4	8005312	8005334	22	-	hsa-miR-95-3p	1	1157	4	76	1884	1	2	157
7	129774739	129774762	23	-	hsa-miR-96-5p	3	2607	26	1377	3968	11	8	2656
X	53556241	53556263	22	-	hsa-miR-98-3p	0	8	0	27	12	0	0	69
X	53556299	53556321	22	-	hsa-miR-98-5p	3	113	27	726	87	6	3	1578
16	34163601	34163622	21	+	hsa-miR-9901	12	0	1	2	1	3	6	1
8	98393667	98393689	22	-	hsa-miR-9903	0	26	1	15	23	1	0	45
21	16539138	16539160	22	+	hsa-miR-99a-3p	1	629	0	0	803	0	0	0
21	16539101	16539123	22	+	hsa-miR-99a-5p	27	5344	5	9	6858	3	5	10
19	51692656	51692678	22	+	hsa-miR-99b-3p	8	161	39	225	151	9	3	433
19	51692618	51692640	22	+	hsa-miR-99b-5p	33	2051	453	3695	2715	194	12	6090
